,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
6367,18863062,unit 2 - durbanmist,34174006,peter,ward 105,-33.81695,18.66183,entire home/apt,1200.0,1.0,0,11,365
6368,18863289,unit 3 - durbanmist,34174006,peter,ward 105,-33.8153,18.66193,entire home/apt,950.0,1.0,0,11,0
6369,18863438,unit 4 durbanmist,34174006,peter,ward 105,-33.81717,18.6631,entire home/apt,950.0,1.0,0,11,0
6370,18863833,unit 6 - durbanmist,34174006,peter,ward 105,-33.81635,18.66309,entire home/apt,2500.0,2.0,1,11,0
6371,18866316,flamingo lagoon 2 sleeper,118950798,pamela,ward 64,-34.10088,18.46931,entire home/apt,471.0,2.0,11,2,360
6372,18866702,newlands flatlet,131447131,sam,ward 59,-33.97553,18.46331,entire home/apt,900.0,1.0,5,1,364
6373,18867439,stunning lake holiday unit - wheelchair friendly,8547867,hilly,ward 69,-34.12345,18.37462,entire home/apt,950.0,7.0,0,16,364
6374,18872245,cosy cottage,56046139,matthew,ward 73,-34.01898,18.46341,entire home/apt,400.0,2.0,65,2,268
6375,18874945,swallow's nest,86830743,ellen,ward 15,-34.06465,18.8485,entire home/apt,600.0,2.0,4,1,119
6376,18880952,top rated @ the muize,40271582,the,ward 64,-34.1028,18.47546,hotel room,800.0,1.0,11,4,351
6377,18881855,modern city life apartment with mountain views,2516345,jaco,ward 115,-33.9261,18.41425,entire home/apt,1267.0,3.0,6,63,24
6378,18884507,harfield guest villa,98242082,graham,ward 58,-33.98632,18.47222,entire home/apt,4900.0,1.0,4,7,177
6379,18886252,"the pool house, free wifi garden setting",105996964,axel,ward 107,-33.82513,18.48445,entire home/apt,1500.0,6.0,11,4,159
6380,18887785,stylish house with shared pool and table mountain views,105996964,axel,ward 107,-33.82531,18.48548,entire home/apt,2500.0,6.0,13,4,330
6381,18889285,superb art deco loft apartment with pool & garden,9722915,tom,ward 115,-33.90919,18.39773,entire home/apt,1800.0,5.0,5,1,298
6382,18903938,beach house with spectacular views -  free wifi,61893550,megan,ward 23,-33.80073,18.46145,entire home/apt,3200.0,5.0,7,4,85
6383,18906041,luxury townhouse with ocean and mountain views,28802509,willem,ward 54,-33.94823,18.38102,entire home/apt,3429.0,1.0,51,2,173
6384,18907280,plunge pool in a beautiful apartment in bantry bay,107113584,jarrad,ward 54,-33.92908,18.37661,entire home/apt,6286.0,2.0,66,3,241
6385,18908535,"sleep inn self catering - sunset beach, cape town",131775936,antonette,ward 4,-33.84988,18.49258,private room,1800.0,3.0,1,1,365
6386,18911205,"brand new, modern guest suite in camps bay",131796856,adrian,ward 54,-33.95209,18.38325,entire home/apt,1818.0,1.0,149,6,362
6387,18919134,"spacious family home near constantia, cape town",48221865,roxanne,ward 73,-34.03338,18.45025,entire home/apt,2500.0,7.0,5,1,268
6388,18919753,kalk bay character apartment,47603662,theresa,ward 64,-34.13089,18.44766,entire home/apt,700.0,7.0,3,2,365
6389,18921003,peaceful and relaxing home in the deep south,131881129,haidi,ward 61,-34.15347,18.40261,entire home/apt,1863.0,7.0,0,1,0
6390,18924560,beachaven kommetjie,114610056,sarah,ward 61,-34.13325,18.3362,entire home/apt,4357.0,3.0,29,4,264
6391,18934676,a break away from the city!,126283934,melisha,ward 85,-34.11747,18.84098,entire home/apt,655.0,2.0,0,1,90
6392,18950426,holiday in our stylish cape town apartment,15054619,mike,ward 115,-33.9107,18.41508,entire home/apt,5500.0,3.0,68,1,189
6393,18952486,very convien and close to everythin,128541720,mark,ward 115,-33.91828,18.42552,entire home/apt,650.0,2.0,0,1,83
6394,18956249,two spacious ensuite bedrooms,63458575,catherine,ward 73,-34.02293,18.45052,private room,1480.0,2.0,0,3,89
6395,18967136,protea 3 bedroom apt amazing sea and harbour views,2346675,ayesha,ward 57,-33.93701,18.44632,entire home/apt,2807.0,3.0,0,8,270
6396,18967343,central cape town furnished 1 bedroom apartment,2346675,ayesha,ward 57,-33.93701,18.44632,entire home/apt,1300.0,3.0,0,8,277
6397,18970983,spacious family haven in the heart of camps bay!,132318487,cathy,ward 54,-33.94925,18.38704,entire home/apt,1200.0,3.0,41,2,1
6398,18973684,large room & private shower/basin in n. suburbs,89651884,brandon,ward 11,-33.94594,18.67269,private room,175.0,2.0,9,1,359
6399,18981352,beautiful modern constantia family home,28729230,nik,ward 73,-34.02893,18.45428,entire home/apt,2500.0,2.0,0,1,0
6400,18982526,18 on kloof guest house - elephant room,42813237,cindy,ward 100,-34.1643,18.86512,private room,1178.0,1.0,0,4,0
6401,18982782,18 on kloof guest house - buffalo room,42813237,cindy,ward 100,-34.16387,18.86308,private room,1178.0,1.0,0,4,0
6402,18983437,gorgeous sea point beach front apartment,132425309,marlene,ward 54,-33.91916,18.382,entire home/apt,3800.0,2.0,44,1,331
6403,18983665,18 on kloof guest house - lion room,42813237,cindy,ward 100,-34.16409,18.86283,private room,1767.0,1.0,1,4,0
6404,18983851,18 on kloof guest house - leopard room,42813237,cindy,ward 100,-34.16426,18.86352,private room,1290.0,1.0,0,4,0
6405,18991889,township lifestyle,132025616,leonil,ward 101,-33.84076,18.75175,shared room,800.0,3.0,0,1,362
6406,18998259,spacious ensuite bedroom,9588616,jacqueline,ward 54,-33.91086,18.39723,private room,500.0,2.0,13,2,364
6407,19003119,lilacs cottage,132583477,diane,ward 23,-33.80924,18.48041,entire home/apt,800.0,2.0,7,1,84
6408,19004157,a magnificent sunrise over  the harbour,46995172,mark,ward 115,-33.92821,18.42182,entire home/apt,650.0,1.0,33,1,146
6409,19004468,tranquil sea view retreat in coastal camps bay,45253190,tanya,ward 54,-33.95506,18.383,entire home/apt,3200.0,5.0,53,1,176
6410,19005606,studio 22,8209470,neil,ward 61,-34.19632,18.43177,entire home/apt,850.0,1.0,16,1,180
6411,19008560,custom boutique apartment with separate study & balcony,26512918,gerard,ward 115,-33.90862,18.40806,entire home/apt,671.0,2.0,125,2,312
6412,19013252,camps bay breath of life - protea apartment,101021635,camps bay breath of life-protea apt,ward 54,-33.9666,18.38224,entire home/apt,900.0,6.0,59,1,322
6413,19020925,a stone drop from table mountain,3659666,alicia,ward 77,-33.93827,18.40073,private room,500.0,2.0,34,1,177
6414,19021521,beautiful ocean views,132735337,carolyn,ward 54,-33.91429,18.3961,entire home/apt,900.0,30.0,9,2,122
6415,19025220,constantia cottage in beautiful garden,28040924,corinne,ward 71,-34.04933,18.43822,entire home/apt,1500.0,4.0,29,1,20
6416,19025236,balmoral heights (3 bed 2 bath) - blouberg,97804106,stephen,ward 23,-33.8087,18.4706,entire home/apt,1400.0,5.0,0,9,62
6417,19026282,"regency - safety, privacy and convenience",82116313,anthony,ward 64,-34.13436,18.43246,entire home/apt,650.0,4.0,3,1,177
6418,19043806,stay in royal ascot,21631110,julie,ward 4,-33.85776,18.50466,private room,700.0,5.0,0,1,91
6419,19044869,"beautiful clifton beach flat, breathtaking views",1104303,tiago,ward 54,-33.93383,18.37708,entire home/apt,1790.0,3.0,114,4,53
6420,19046021,spacious 1 bedroom apartment 7,25730782,clara,ward 77,-33.93405,18.40877,entire home/apt,757.0,2.0,1,13,49
6421,19050827,secure-golf-serviced & peaceful for family time,132975397,andrew,ward 84,-34.06301,18.88215,entire home/apt,4500.0,5.0,8,1,21
6422,19052104,luxurious yellow wood | somerset west | ozone spa,99487919,tracey & aaron,ward 15,-34.06498,18.83476,entire home/apt,537.0,1.0,66,2,365
6423,19056598,ngesi house,111073544,jacqueline,ward 53,-33.94326,18.51567,entire home/apt,547.0,1.0,0,1,0
6424,19063367,sunset beach cottage,130232013,doris,ward 4,-33.85691,18.49348,entire home/apt,686.0,3.0,38,2,335
6425,19065116,lighthouse quaint & cosy couples & family bedroom,133087274,helen,ward 53,-33.94045,18.48769,private room,390.0,2.0,2,1,362
6426,19066440,"quiet, sunny tamboerskloof flat, best ct location",95317873,charles,ward 77,-33.93586,18.40139,entire home/apt,1650.0,7.0,2,1,178
6427,19075073,french countryside manor with mountain view’s.,4388755,loren,ward 74,-34.01547,18.36378,entire home/apt,1400.0,7.0,19,1,0
6428,19076162,chic studio suite with awesome pool and garden,48325952,coral,ward 71,-34.03965,18.42838,private room,674.0,1.0,88,4,341
6429,19088665,camps bay apartment - panoramic views,113777427,maryke,ward 54,-33.9662,18.37932,entire home/apt,1252.0,2.0,168,3,333
6430,19089559,avocet cape town villa - rooms - b&b - self cater,79694,harriet,ward 113,-33.83305,18.49519,private room,569.0,1.0,1,7,364
6431,19091474,sought-after secure townhouse complex in fresnaye,54473709,lara,ward 54,-33.92103,18.38863,entire home/apt,8500.0,6.0,0,1,358
6432,19093535,5 star luxury apartment 810 cape royale,75954416,henk & nadia,ward 115,-33.90973,18.41256,private room,1236.0,1.0,12,2,114
6433,19094088,"home away from home,cape town",133367851,olivier,ward 73,-34.02971,18.47384,private room,540.0,1.0,20,1,363
6434,19106741,"the cabin room, simon's town",28383060,therese vlug,ward 61,-34.19454,18.43124,private room,500.0,1.0,33,6,0
6435,19107403,garden apartment with sea views,43569683,laurence,ward 54,-33.91329,18.39728,entire home/apt,1800.0,7.0,0,4,328
6436,19110346,house with stunning views over southern suburbs,23038288,john,ward 62,-33.99569,18.45439,entire home/apt,4000.0,7.0,0,1,0
6437,19116822,large bedroom 5 minutes from cape town city centre,37105272,vukani,ward 57,-33.93074,18.45197,private room,300.0,2.0,3,1,365
6438,19117477,cosy cottage in milnerton proper,13846819,annette,ward 55,-33.88981,18.49295,entire home/apt,392.0,7.0,1,5,112
6439,19125164,strathmore flat in the annex of chartfield,3007248,florian,ward 64,-34.12662,18.44819,entire home/apt,2543.0,1.0,1,20,277
6440,19128534,sherwood #2:  camps bay apartment 200 mt to  beach,108659303,angela,ward 54,-33.95408,18.37786,entire home/apt,1371.0,3.0,8,2,361
6441,19128957,modern bright apartment - view of table mountain,101358087,melonique,ward 27,-33.89841,18.54575,entire home/apt,750.0,2.0,15,1,300
6442,19130490,"tranquil, luxury condo on the atlantic seaboard",51485947,ellen,ward 54,-33.92529,18.37845,entire home/apt,7186.0,2.0,32,15,345
6443,19133998,max beach cottage,133728957,udo,ward 61,-34.13277,18.33898,entire home/apt,690.0,3.0,19,1,0
6444,19137540,savour the ocean breezes,51485947,ellen,ward 54,-33.92523,18.37843,entire home/apt,5529.0,2.0,43,15,338
6445,19148444,upmarket getaway on the exclusive atlantic seaboard,51485947,ellen,ward 54,-33.92523,18.37845,entire home/apt,2200.0,2.0,48,15,55
6446,19152009,sunny sea point apartment by the sea,133905001,mary-rose,ward 54,-33.92151,18.38229,entire home/apt,1000.0,3.0,21,1,69
6447,19153594,sunny studio cottage in a rural setting.,133917584,janet,ward 74,-34.01129,18.38512,entire home/apt,750.0,2.0,10,1,355
6448,19166502,prima views,57218252,nox,ward 54,-33.9541,18.38722,entire home/apt,10734.0,4.0,4,110,340
6449,19166916,halo villa,57218252,nox,ward 54,-33.96172,18.38471,entire home/apt,8045.0,4.0,2,110,254
6450,19170750,modern apartment in cape town century city,9872892,sarishsingh,ward 55,-33.89024,18.51153,entire home/apt,1167.0,1.0,5,9,0
6451,19173952,cape stellenburg flat,134089061,钰瑄,ward 59,-33.97681,18.4629,entire home/apt,500.0,90.0,4,1,363
6452,19182041,majestic v&a waterfront 2 bed 2 bath luxury,14120131,chapson,ward 115,-33.9131,18.42484,entire home/apt,1393.0,2.0,29,16,351
6453,19184587,acorn on blair,100716894,esna,ward 15,-34.06249,18.83783,entire home/apt,600.0,2.0,29,2,341
6454,19185008,anchor on blair,100716894,esna,ward 15,-34.06209,18.83718,entire home/apt,1200.0,2.0,48,2,365
6455,19187023,loft living on popular rose street!,134210932,propr,ward 77,-33.9192,18.4167,entire home/apt,1000.0,3.0,27,1,312
6456,19188876,family holiday home with spectacular views,106584308,ciska,ward 74,-34.04209,18.36022,entire home/apt,3571.0,5.0,8,8,0
6457,19189192,classic 2 bed spacious apartment - stunning views!,134227881,aissa and ughetta,ward 115,-33.9132,18.40937,entire home/apt,2950.0,3.0,6,1,301
6458,19192023,aloe cottage,54900965,verna,ward 73,-34.04805,18.45555,private room,600.0,3.0,1,1,87
6459,19193383,mooibaai cottages - room hippo,23709904,valérie,ward 74,-34.01657,18.36085,private room,1950.0,2.0,0,5,304
6460,19195016,mooibaai cottages - room elephant,23709904,valérie,ward 74,-34.01616,18.36078,private room,1950.0,2.0,0,5,306
6461,19195519,mooibaai cottages - room rhino,23709904,valérie,ward 74,-34.01468,18.3613,private room,1800.0,2.0,0,5,361
6462,19196658,cape town sea point beach apartment sleeps up to 6,71915658,zwali,ward 54,-33.92069,18.37997,entire home/apt,1999.0,1.0,0,1,177
6463,19200329,513 - 'sun-setters studio' with amazing views,12945822,brett,ward 55,-33.88426,18.49485,entire home/apt,507.0,2.0,26,17,112
6464,19205999,"airy, art-filled loft with panoramic terrace views",9189366,alex,ward 115,-33.91287,18.4153,entire home/apt,1000.0,2.0,97,8,295
6465,19217021,"""the grey room"" studio",113000931,carole,ward 71,-34.03854,18.42787,entire home/apt,465.0,3.0,2,2,1
6466,19217219,wingate escape,23528728,teresa,ward 69,-34.13106,18.39243,private room,650.0,1.0,2,1,0
6467,19217379,stylish modern beachfront apartment,11286005,anna,ward 55,-33.89463,18.48286,entire home/apt,1250.0,2.0,27,1,358
6468,19222437,marina beach house,76169597,adrian,ward 64,-34.0935,18.47704,entire home/apt,2011.0,2.0,44,2,356
6469,19235211,✦ central modern studio | wifi | tv | pool | gym,109085388,greg,ward 115,-33.92883,18.42167,entire home/apt,426.0,1.0,42,1,315
6470,19235513,"a welcoming, modern, spacious home away from home.",46812368,devinia,ward 54,-33.91203,18.3931,private room,1146.0,5.0,0,1,0
6471,19241364,townhouse with a view,9735402,bernard,ward 115,-33.91193,18.41462,entire home/apt,1755.0,5.0,1,2,364
6472,19253591,saffron house self catering unit room 11 & 12,134074870,carla,ward 4,-33.85165,18.49433,private room,600.0,1.0,0,3,360
6473,19254779,hannah's haven,94183466,hannah,ward 102,-33.85968,18.6826,private room,363.0,1.0,4,1,89
6474,19259708,mountain view apartment on wine route,50356585,lj,ward 1,-33.8384,18.55059,entire home/apt,800.0,2.0,9,1,35
6475,19261513,froggies - self contained - 2 bedroom - seaview,134868355,wendy,ward 61,-34.20541,18.45523,entire home/apt,1000.0,1.0,156,1,235
6476,19282709,"3 bedroom victorian cottage, green point near city",230598996,wesley,ward 115,-33.90979,18.39955,entire home/apt,1500.0,2.0,122,6,229
